abandon,放弃+放纵
inequity,不公正+不公平
inert,惰性的+行动迟钝的
inertia,惰性+懒惰
inexhaustible,用不完的+取之不竭的
inexorable,不为所动的+坚决不变的
inexplicable,无法解释的
infant,婴儿
infantile,幼稚的+孩子气的
infantry,步兵
infatuation,迷恋
infection,传染+感染
infelicitous,不幸的+不妥当的
infelicity,不幸+不恰当
infer,推断+推定
inferior,下级的+低等的+质次的+较差的
inferno,火海+地狱般的场所
infest,骚扰+扰乱
infiltrate,渗透+渗入
infinitesimal,极微小的+极小量
infinity,无限的时间或空间
infirm,虚弱的
inflame,使燃烧+激怒(某人)
inflamed,发炎的
inflammation,激怒+炽热+炎症
inflate,使充气+使膨胀
inflict,遭受
influx,注入+涌入
informed,见多识广的+消息灵通的
infraction,违法
infringe,违反+侵害
infuriate,使(人)极为愤怒
infuse,灌输+鼓励
ingenious,聪明的+有发明天才的
ingénue,天真无邪的少女
ingenuity,巧思+聪敏
ingenuous,纯朴的+单纯的
ingest,咽下+吞下
ingestion,摄取+吸收+容纳
ingrained,根深蒂固的
ingrate,忘恩负义的人
ingratiate,逢迎+讨好
ingratiating,讨好的+谄媚的
ingredient,成分
inhabit,栖居于+占据
inhabitant,居民+栖息的动物
inhale,吸气
inherit,继承
inhibit,抑制
inhibitor,抑制剂
inhumane,不近人情的
inimical,敌意的+不友善的
inimitable,无法仿效的+不可比拟的
iniquitous,邪恶的+不公正的
iniquity,邪恶+不公正
initial,开始的+最初的+(姓名的)首字母
initiate,发起+创始+接纳或介绍某人加入某团体等
initiative,主动+首创精神
injection,注射+注射剂
injunction,命令+强制令
injurious,有害的
inkling,暗示+迹象+略知+模糊概念
innate,生来的+天赋的
innocence,无辜+清白
innocuous,(行为+言论等)无害的
innovation,创新+改革
innovative,革新的
innuendo,含沙射影+暗讽
inoculate,预防注射
inordinate,过度的+过分的
inquiry,询问
inquisitive,过分好问的+好奇的
inroad,突袭+消耗
insatiable,不能满足的+贪心的
inscribe,在某物上写+题
inscrutable,高深莫测的+神秘的
insecticide,杀虫剂
insensate,无感觉的+蠢笨的
insentient,无知觉的+无生命的
insert,插入
insider,局内人+圈内人
insidious,隐藏诡计的
insignia,徽章+袖章
insincerity,伪善
insinuate,暗指+暗示
insipid,乏味的+枯燥的
insolence,傲慢+无礼
insolent,粗野的+无礼的
insoluble,不溶解的+不能解决的
insolvency,无力偿还+破产
insomnia,失眠症
insouciant,漫不经心的
inspection,检查+细看
inspiration,启示+灵感
inspired,有创见的+有灵感的
install,安装+装置+使就职
instantaneous,立即的+瞬间发生的
instate,任命+安置
instigate,发起+煽动
instill,滴注+逐渐灌输
instinctive,本能的
institute,制定+创立(社团+规章)+学院+协会
institution,公共机构+协会+制度
institutionalized,制度化的+有组织的
instructive,传授知识的+启蒙的
instrumental,有帮助的+有作用的
instrumentalist,乐器演奏者
insubordinate,不服从的+反抗的
insubstantial,非实体的+薄弱的
insufficient,不足的
insular,岛屿的+心胸狭窄的
insularity,岛国状态+岛屿生活状况+与外界隔绝的生活状况+(思想+ 观点等的)偏狭+性僵化
insulate,使绝缘+使隔离
insulin,胰岛素
insurgent,叛乱的+起事的+叛乱分子
insurrection,造反+叛乱
intact,完整的+未动过的
intangibility,无形+不可接触
intangible,不可触摸的
integral,构成整体所必需的+完整的
integrate,使成整体
integrity,正直+诚实+完整
intellect,智力+思维能力
intellectual,智力的+理智的+知识分子
intelligible,可了解的+清晰的
intensify,加剧
intent,专心的+渴望的+目的+意向
intentional,存心的+故意的
inter,埋葬
interaction,相互作用(影响)
intercede,说好话+代为求情
intercept,中途拦截+截取
intercessor,仲裁者
interchangeable,可互换的
interdict,禁止+切断(补给线)
interference,干涉+妨碍
interim,中间时期+过渡时期+暂时的
interjection,插入语+感叹词
interlock,连锁+连串
interlocking,连锁的
interlude,(活动间的)暂时休息
intermediary,仲裁者+中间物+中间的+媒介的
interminable,无尽头的
intermingle,混合+掺杂
intermission,暂停+间歇
intermittent,断断续续的+间歇的
intern,拘禁+软禁+实习生
internecine,内讧的+两败俱伤的
interplay,相互影响
interpolate,插入+篡改
interpose,置于…之间+使介入
interregnum,无王时期
interrogate,审问+审讯
interrogative,疑问的
interrupt,暂时中止+打断+打扰
intersect,横截+横断
intersperse,散布+点缀
intertwine,纠缠+缠+绕
intervene,干涉+介入
intimate,亲密的+密友+暗示
intimidate,恐吓+胁迫
intoxicate,(使)沉醉+(使)欣喜若狂+(使)喝醉
intractable,倔强的+难管的
intransigent,不妥协的
intrepid,无畏的+刚毅的
intricacy,错综+复杂+纷乱
intricate,复杂难懂的
intrigue,密谋+引起…极大兴趣
introspective,自省的
intrude,把(思想等)强加于+闯入
intuition,直觉
intuitive,直觉的
inundate,淹没+泛滥
inured,习惯的
invade,侵犯+侵入
invective,猛烈抨击+痛骂
inveigh,痛骂+抨击
inveigle,诱骗+诱使
inventory,详细目录+存货清单
inverse,相反的+倒转的
invert,上下倒置
invertebrate,adj.无脊椎的(动物)
investigate,调查
inveterate,积习已深的
invidious,惹人反感的+导致伤害和仇恨的+招人嫉妒的
invigorate,鼓舞+激励
invigorating,使人有精神的+使人健壮的
inviolable,不可侵犯的+不可亵渎的
invoke,祈求+恳求+(法律的)实施生效
involuntary,无意的
invulnerable,无法伤害的
iodine,碘+碘酒
iota,极小量+极少
irascible,易发怒的
irate,发怒的
ire,愤怒+激怒
iridescent,闪彩光的+现晕光的
irk,使苦恼的+厌烦
irksome,令人苦恼的+讨厌的
ironclad,装铁甲的+坚固的
ironic,挖苦的+出乎意料的
irony,反话
irradicable,不能根除的
irreconcilable,不能协调的+矛盾的
irredeemable,无法挽回的
irreducible,不能约的
irremediable,无法治愈的+无法纠正的
irrepressible,无法约束或阻止的
irrevocable,无法取消的
irrigate,灌溉
irritable,易怒的+易受刺激的
irritate,激怒+刺激
irritation,愤怒+急躁+刺激
isolate,孤立+将…从其种群中隔离
isotope,同位素
issue,出来+流出+发给+分发+(书刊的)期
isthmus,地峡
itinerant,巡回的+流动的
itinerary,行程表+旅行路线
ivory,象牙+长牙
jabber,快而不清楚地说
jade,疲惫的老马+玉+翡翠
jaded,疲惫的+厌倦的+(胶卷)暴光过分的
jagged,锯齿状的+不整齐的
jamb,门窗的侧柱
jar,冲突+抵触+震惊+发刺耳声
jargon,暗语+行话
jarring,声音刺耳的
jaundice,偏见+黄疸
jaundiced,有偏见的
jaunt,短程旅游
jaunty,愉快的+满足的
jazz,爵士乐+喧闹
jealousy,猜忌+嫉妒
jeer,嘲笑
jejune,空洞的+不成熟的
jerk,突然猛拉
jeopardize,危及+危害
jeopardy,危险
jest,说笑+玩笑
jettison,(船)向外抛弃东西+抛弃的货物
jibe,与…一致+符合
jigsaw,拼图游戏
jingoism,沙文主义+侵略主义
jockey,骑师+用计谋获取
jocular,滑稽的+诙谐的+嬉戏的
jocund,快乐的+高兴的
jog,慢而平静地前进
jolt,颠簸着移动+震动+摇晃
jot,摘要记录
jovial,愉快的
jubilation,欢快+欢庆
judicial,法庭的+法官的
judicious,有判断力的+明智的
judiciousness,明智
juggernaut,摧毁一切的强大力量
jumble,混杂+掺杂+混杂+掺杂
junction,交叉路口+连接
jurisdiction,司法权+审判权+裁判权
justifiable,有理由的+无可非议的
justification,正当理由+好的（正义的）原因+辨护
justify,证明…是正当的
juvenile,少年的+似少年的
juxtapose,并排+并置
kaleidoscope,万花筒+产生有趣的对称效果
kangaroo,袋鼠
ken,视野范围+知识范围
kennel,狗舍+狗窝
kernel,果仁+核心
kidnap,诱拐+绑架+勒赎
kidney,肾
killjoy,令人扫兴的人
kin,亲属
kindle,着火+点燃
kindred,同类的+种族的
kinetic,运动的
knack,特殊能力+窍门
knave,流氓+恶棍
knead,揉制+捏制
knit,编织
knotty,有节疤的
know-how,专业技能+知识
kudos,荣誉
labile,不稳定的
labored,吃力的+(文体等)不自然的
labyrinth,迷宫
lace,鞋带+系带+网眼花边+透孔织品
lacerate,撕裂+深深伤害
lachrymose,好流泪的+引人落泪的
lackadaisical,无精打采的+无兴趣的
lackluster,无光泽的+呆滞的
laconic,简洁的
lactic,乳汁的
lag,落后+滞留
lair,野兽的巢穴+躲藏处
laity,俗信徒+俗人阶级+外行
lambaste,痛打+痛骂
lament,悲伤+哀悼
lampoon,讽刺文章+讽刺
lance,长矛+鱼叉
lancet,手术刀
landfill,垃圾堆
landlocked,被陆地包围的
landmark,陆标+里程碑
landslide,山崩+压倒性胜利
languid,没精打采的+倦怠的
languish,变得消瘦+衰弱
languor,身心疲惫
lank,瘦削的+长而软的
lap,舔食+泼溅
lapse,失误+(时间等)流逝
larder,食品室
largess,赠送+赏赐+赠品+贺礼
largesse,慷慨援助+施舍
lark,玩乐+嬉耍
larva,(昆虫的)幼虫
lash,鞭子+鞭打+捆住
lassitude,无力+没精打采
lasso,套索(捕捉牛、马用)
lasting,持久的+永久的
latency,潜伏期
latent,潜伏的
lateral,侧面的
lathe,车床
latitude,言行自由+纬度
lattice,(做篱笆或爬藤架等的)格子架
laud,称赞
lava,熔岩
lave,洗浴+慢慢冲刷
lavish,浪费的+丰富的
laxative,(药)通便的+放松的+轻泻药
leak,泄漏+泄漏+漏出量+漏洞
leakage,渗漏+漏出
lease,租约+租期+出租
leaven,发酵剂+影响力+发酵+影响
lectern,教堂里的读经台
ledger,账簿
leer,斜眼看+送秋波
leery,机警的+怀疑的
legacy,遗产+遗留之物
legend,地图里的说明文字或图例
legerdemain,手法+戏法
legion,兵团+一大群
legislate,制定法律
legislation,法律+法规+立法
legislature,立法机关+立法团体
legitimate,合法的+正当的
leisureliness,悠然+从容
leniency,温和+宽容
lenient,宽大的+仁慈的
lethal,致命的
lethargic,昏睡的
lethargy,昏睡+倦怠+呆滞懒散
levee,防洪堤+堤岸
levelheaded,头脑冷静的+稳健的
lever,杠杆+撬动
levity,轻率+轻浮
levy,征税+征兵
lexicographer,词典编纂人
liability,责任+债务
liaison,联系+暧昧关系
libel,(文字)诽谤+中伤
liberality,慷慨+心胸开阔
liberate,释放+解放
libertine,性行为放纵者+浪荡的人
liberty,随意+冒失
libretto,(歌剧等)歌词+剧本
license,放肆+自由+许可证+执照
licentious,纵欲的+放肆的
lien,扣押权+留置权
ligneous,木质的+木头的
liken,把…比作…
limb,肢(手或脚)+翼
limber,易弯曲的+敏捷的
limerick,五行打油诗
limestone,石灰岩
limited,有限的
limn,描写+画
limousine,大型轿车+大客车
limp,跛行+软弱的+松软的
limpid,清澈的+透明的
lineage,宗系+血统
linear,线的+成直线的
linen,亚麻织品+亚麻布
linger,逗留+留恋
linguistic,语言的
linguistics,语言学
linoleum,油毡
lint,绷带用麻布+皮棉
lionize,崇拜+看重
liquefy,(使)液化+(使)溶解
liquid,清澈的
liquidate,清算+清偿
lissome,姿态优雅的+柔软的
list,倾斜
listless,无精打采的
literal,字面上的+忠实原义的+精确的
literate,有读写能力的+有文化修养的
literati,文人+学者(复数)
lithe,柔软的+易弯曲的+敏捷的+轻快的
litigant,诉讼当事人
litigation,诉讼
litter,垃圾+一窝(动物)
loaf,一条(面包)+虚度光阴
loath,不情愿的+勉强的
loathe,憎恨+厌恶
lobby,大厅+休息厅
lobe,耳垂+(肺、肝等的)叶
locale,事件发生的现场、地点
locomotion,运动+移动
locomotive,移动的+机车+火车头
locus,地点+所在地
lode,矿脉
lofty,崇高的+高尚的
log,日志+记录+一段大木头+圆木
logistics,后勤学+后勤
loll,懒洋洋地坐或卧
longevity,长寿
longing,渴望
long-winded,冗长的
loom,织布机+(威胁性)隐约出现
loon,愚人+疯子
loop,圈+金属线圈
loophole,枪眼+小窗+换气孔
loosen,变松+松开
lope,轻快的步伐+使大步慢跑+跳跃
lopsided,倾向一方的+不平衡的
loquacious,多嘴的+饶舌的
lot,签+命运+抽签+划分
lottery,彩票+抽彩给奖法
lounge,懒散地斜靠+休息室
loutish,粗鲁的
low,牛叫
loyal,忠诚的+忠贞的+忠心的
lubricant,润滑剂
lubricate,润滑
lucid,表达清楚的+明白易懂的
lucrative,赚钱的+有利可图的
ludicrous,荒唐可笑的
lug,拖+拉
lukewarm,微温的+不热心的
lull,活动的暂停+使平静
lullaby,摇篮曲
lumber,蹒跚而行+笨拙地走+杂物+木材
lumberjack,伐木工
lumen,流明(光通量单位)
luminary,杰出人物+名人
lump,一块+肿块+形成块状
lunar,月亮的
lunatic,疯子+极蠢的
lurch,突然向前或旁边倒+蹒跚而行
lurid,耀眼的+骇人听闻的
lurk,潜伏+埋伏
lush,繁茂的+茂盛的
lust,强烈的欲望
lustrous,有光泽的
luxuriant,繁茂的+肥沃的
luxurious,奢侈的+豪华的
luxury,奢侈(品)
lyric,抒情的+抒情诗+歌词
macabre,骇人的+可怖的
macerate,浸软+消瘦
machination,阴谋
maculated,有斑点的
madrigal,抒情短诗+情歌+合唱曲
maelstrom,大漩涡+大混乱
magenta,紫红色(的)+紫红色的染料
magisterial,有权威的+威风的
magnanimity,慷慨
magnanimous,宽宏大量的+慷慨的
magnate,财主+巨头
magnificent,壮丽的+宏伟的+高尚的
magnify,放大+赞美
magnitude,重要+星球的光亮度
magpie,鹊+饶舌的人
maintenance,维持+维护
maize,玉米
majestic,雄伟的+庄严的
maladroit,笨拙的
malaise,不适+不舒服
malapropism,字的误用
malcontent,不满的+不满分子+反抗者
malevolent,有恶意的+恶毒的
malfeasance,不法行为+渎职
malfunction,发生故障+故障+障碍
malicious,恶意的+怨毒的
malign,诽谤+中伤+邪恶的
malinger,装病以逃避工作
malleable,可塑的+易改变的
malpractice,玩忽职守+渎职
mammal,哺乳动物
mammoth,巨大的
mandate,命令+指令
mandatory,命令的+强迫的
mangle,毁损+撕成碎片+压碎
mania,癫狂+狂热
manifest,显然的
manifestation,表明+显示
manifesto,宣言+声明
manifold,繁多的+多种的
manipulate,操纵
manipulative,操纵别人的+老于世故的
mannered,做作的
mansion,公馆+大厦
mantle,披风+斗篷+覆盖
manumit,解放(奴隶)
manure,粪肥+给…施肥
manuscript,手稿+手抄本
maple,枫树(枫树是加拿大的国树)
mar,破坏+损伤
marble,大理石
mare,母马+母驴
margarine,人造黄油
margin,页边空白+边缘+差额+余地+利润
marginal,书页空白处的+不重要的
marine,海的+海中的
marionette,木偶
marital,婚姻的
maritime,沿海的+海上的
marked,明显的+被监视的
maroon,栗色(的)
marred,受伤的+毁坏变形的
marsh,沼泽地+湿地
marshal,整理+安排+设置
marsupial,有袋动物(的)
martial,战争的+军事的
martyr,烈士+殉道者
marvel,对…感到惊异+奇迹
mash,捣成糊状
mask,假面具+隐藏(感情)
mason,泥瓦匠+石匠
masquerade,化装舞会+伪装
massacre,大屠杀
massive,巨大的+厚重的
mast,船桅+旗杆
masticate,咀嚼+把…磨成浆
mate,伙伴+配偶+交配
materialize,赋予形体+使具体化+实现
maternal,母性的
matrix,模子+矩阵
mattress,床垫
mature,成熟的+深思熟虑的
maturity,成熟+完备
maudlin,感情脆弱的+爱哭的
maul,撕裂皮肉+伤害
mauve,淡紫色的
maven,专家+内行
maverick,想法与众不同的人
mawkish,自作多情的+淡而无味的+令人作呕的
maximize,使增至最大限度
maze,迷宫
meager,贫乏的+削瘦的
mean,卑贱的+吝啬的
meander,蜿蜒而流+漫步
measly,患麻疹的+小得可怜的
measured,精确的+慎重的
mechanical,机械的+机械制造的+机械似的+呆板的+体力的
mechanics,力学
mechanism,结构+机制
medal,奖牌+勋章
meddle,干涉+干预
meddlesome,爱管闲事的
mediate,调停
medieval,中世纪的+中古的
mediocre,平庸的+平凡的
mediocrity,平庸+碌碌无为
meditate,沉思+反省
meditation,沉思+冥想
meditative,沉思的+善于思考的
medium,媒介+(细菌等的)生存环境
medley,混合歌曲+混杂+各种各样的集团
meek,温顺的+顺服的
meet,合适的
melancholy,忧郁的+令人悲伤的
meld,(使)混合+(使)合并
mellifluous,(音乐等)柔美流畅的
melodrama,情节剧+音乐戏剧
melody,旋律+歌曲
melon,甜瓜
membrane,薄膜+细胞膜
memoir,回忆录+自传+记事录
memorial,纪念碑+纪念物+纪念的+悼念的
menace,威胁+危险
mend,修改+改进
mendacious,不真的+撒谎的
mendacity,虚假
mendicant,行乞的+乞丐
menthol,薄荷醇
mentor,导师
mercantile,贸易的+商业的
mercenary,惟利是图的+雇佣兵
mercurial,善变的+活泼的
meretricious,华而不实的+俗艳的
merit,值得
merited,该得的+理所当然的
meritorious,值得赞赏的
mesa,高台地+平顶山
mesh,用网捕捉+齿合
metabolism,新陈代谢
metamorphose,变形
metaphor,隐喻+暗喻
metaphysical,形而上学的+玄学的
metaphysics,形而上学+玄学
mete,给予+分配+测量+边界
meteoric,流星的+昙花一现的
meteorology,气象学
methodical,细心的+有条不紊的
meticulous,细心的+一丝不苟的
metrical,测量的+韵律的
metropolis,大城市
metropolitan,大都市的+首都的
mettle,勇气+斗志
mettlesome,精神抖擞的
microbe,微生物
microorganism,微生物+细菌
microscope,显微镜
microscopic,极小的+显微镜的
miff,小争吵
mighty,强有力的+强大的
migratory,迁移的+流浪的
milestone,里程碑+转折点
militia,民兵
milk,榨取
mill,磨坊+压榨机+制造厂
mime,哑剧表演+哑剧(演员)
mimic,模仿+戏弄+模仿他人言行的人
minaret,清真寺的尖塔
minatory,威胁的+恫吓的
mince,切碎+小步走路
mingle,混合
miniature,小画像+缩影
minimize,把…减至最低数量或程度
minion,奴才+低下之人
minnow,鲦鱼+小淡水鱼
mint,大量+巨额
minuet,小步舞
minuscule,极小的
minutes,会议记录
minutia,细枝末节+细节
miracle,奇事+奇迹
mirage,幻影+海市蜃楼
mire,泥沼+困境+使…陷入困境
mirth,欢乐+欢笑
misanthrope,愤世嫉俗者
mischievous,淘气的+有害处的
miscreant,恶棍+歹徒
miser,守财奴+吝啬鬼
miserly,吝啬的+贪婪的
misgiving,担心+疑虑
misinform,向…提供错误信息
misnomer,名字的误用
misperceive,误解
misrepresent,误传+歪曲
misrepresentation,歪曲
misshapen,畸形的+奇形怪状的
missile,发射物+导弹
mite,极小量+小虫
mitigate,减轻+缓和
mitten,(四指套在一起拇指分开的)连指手套
mnemonics,记忆法+记忆规则
moan,(痛苦地的)呻吟+(不满地的)抱怨
moat,壕沟+护城河
mobile,易于移动的
mobility,可动性+流动性
mock,嘲笑+模仿地嘲弄
mode,样式+时尚+模式
modest,谦虚的+谨慎的+适度的
modicum,少量
modify,修改+变更
modish,时髦的
modulate,调整(音的强弱)
mogul,显要人物+权势之人
molar,臼齿
mold,模子+(美)霉+塑造
molding,装饰线条+铸造物
moldy,发霉的
molecule,分子
mollify,安慰+安抚
mollycoddle,过分爱惜+娇惯+娇生惯养的人
molt,换羽+脱毛+换羽(期)+脱毛(期)
molten,熔化+熔化的
moment,瞬间+重要
momentous,极重要的+严重的
momentum,推进力+势头
monarch,君主+帝王
monarchy,君主制
monetary,货币的
mongrel,杂种动物+混血儿
monochromatic,单色的
monochrome,单色的+单色画的
monocle,单片眼镜
monogamy,一夫一妻制
monolithic,巨石的+巨大的
monologue,独白+个人长篇演说
monomania,偏狂症+狂热病
monopoly,专利权+垄断
monotonous,单调的+无聊的
monotony,单调+千篇一律
monsoon,季雨+季风
montage,蒙太奇+拼集画
monumental,极大的+纪念碑的
morale,士气+精神力量
moralistic,道学气的
moratorium,停止偿付+禁止活动
morbid,病态的+不正常的
mordant,讥讽的+尖酸的
mores,风俗习惯+道德观念
moribund,即将结束的+垂死的
morose,阴郁的
morsel,一小块(食物)+小量
mortality,死亡率
mortar,小臼+乳钵+迫击炮
mortgage,抵押贷款+抵押证书+用…作抵押
mortification,耻辱+屈辱
mortify,使屈辱+使痛心
mortuary,停尸间+太平间
mosaic,马赛克+镶嵌细工(把小块玻璃石头等镶嵌成图画)
mosque,清真寺(伊斯兰教的寺庙)
mosquito,蚊子
mote,微粒+微尘
motif,(作品)主题+主旨
motility,运动性
motley,混杂的+杂色的
mottled,有杂色的+斑驳的
motto,座右铭+箴言
mountainous,多山的+巨大的
mourn,哀悼+哀伤
mournful,悲伤的
movement,(交响乐)乐章
muffle,使声音降低+裹住
muffled,(声音)压低的
muffler,消音器+围巾
mulish,骡一样的+执拗的
multiple,多样的+多重的
multiplicity,多样性
multiply,乘+增加+繁殖
mumble,咕哝+含糊不清地说
mundane,现世的+世俗的
municipality,市+市政当局(指城市行政区及管理者)
munificence,慷慨+宽宏大量
munition,军火+弹药
mural,墙壁的+壁画
murky,黑暗的+朦胧的
murmur,柔声地说+喃喃而言
muscle,肌肉+肌肉的力量
muscular,肌肉的+强健的
muse,沉思+冥想
mushroom,蘑菇+雨后春笋般迅速发展
musicologist,音乐学者
musket,旧式步枪
muster,召集+聚集
mutate,变异
mute,沉默的+减弱声音+弱音器
muted,(声音)减弱的+变得轻柔的
mutineer,反叛者+背叛者
mutter,咕哝+嘀咕
myopia,近视+缺乏远见
myopic,近视眼的+缺乏辨别力的
myriad,许多的+无数的
mystic,神秘的+不可思议的+神秘主义者
nadir,最低点
nag,唠叨+烦扰
naive,天真的+纯朴的
narcissism,自恋+自爱
narcissist,自负的人+自恋者
narcotic,催眠药+催眠的
narrative,叙述的+讲故事的
nascent,初生的+萌芽的
natal,出生的+诞生时的
natty,整洁的+潇洒的
nausea,作呕+恶心
nauseate,使作呕+使厌恶
nautical,船员的+航海的
navigate,航海+导航
naysay,拒绝+说不
nebulous,模糊不清的+云状的
needle,针+针叶
needlework,缝纫+刺绣
needy,贫穷的
nefarious,违法的+邪恶的
negate,取消+否认
negation,否定+拒绝
negligence,粗心+疏忽
negotiable,可商量的
negotiate,商议+谈判+交涉
neolithic,新石器时代的
neologism,新字+新义
neophyte,初学者+新手
nepotism,裙带关系
nerve,勇气+给予力量或勇气
nettle,荨麻+烦忧+激恼
neurology,神经学
neutralize,使无效+中和
neutron,中子
nexus,(看法等的)联系+连结
nib,钢笔尖
nibble,一点点地咬+慢慢啃
nice,精密的
nicety,准确+精确
nick,小伤口+刻痕
nicotine,尼古丁
nightmare,恶梦+可怕的事
nil,无+零
nip,小口啜饮
nitpick,挑剔+吹毛求疵
nocturnal,夜晚的+夜间发生的
noisome,恶臭的+令人不快的
nomad,流浪者+游牧部落的人
nomadic,游牧的
nominal,名义上的+有名无实的
nominate,提名+任命+指定
nonchalance,冷漠+缺少关怀+沉着
nonchalant,冷漠的
noncommittal,态度暖味的+不承担义务的
nonconformist,adj.不遵照传统生活的(人)
nonentity,不重要之人或事
nonflammable,不易燃的
nonplus,使窘困迷惑+迷惑+窘境
nonporous,无孔的+不渗透的
nonradioactive,非放射性的
nonsensical,荒唐的+无意义的
nonthreatening,不威胁的
nonviable,无法生存的
norm,规范+准则
nostalgia,怀旧之情
nostrum,家传秘方+万灵丹
notable,明显的+出众的+重要的
notch,V字形刻痕
notorious,臭名昭著的
nourish,滋养+怀有(希望等)
nova,新星
novelty,新奇(的事物)
novice,生手+新手
noxious,有害的+有毒的
nuance,细微的差异
nubile,(女孩)到婚嫁年龄的+吸引人的
nucleate,使成核
nucleus,(原子)核
nudge,(用肘)轻触+轻推
nugatory,无价值的+琐碎的
nullify,使无效+取消
numb,麻木的
numerous,许多的+很多的
numismatist,钱币学家+钱币收藏家
nurture,抚育+给…营养物+教养+养育+营养物+(总称)环境因素
nutrient,滋养物质
nutrition,营养
oafishness,痴呆
oak,橡树
oasis,绿洲
oath,誓言+咒骂
obdurate,固执的+顽固的
obedient,服从的+顺从的
obeisance,鞠躬+敬礼
obese,极肥胖的
obfuscate,使困惑+使迷惑
obituary,讣闻+讣告
objection,厌恶+反对
objective,客观的+目标
obligation,责任+债务+欠的人情
obligatory,强制性的+义务的
oblige,束缚+恩惠于…
obliging,恳切的+热心助人的
oblique,间接的+斜的
obliterate,涂掉+擦掉
oblivious,遗忘的+疏忽的
obloquy,大骂+斥责
obnoxious,令人不愉快的+可憎的
obscure,难理解的+不清楚的+隐藏+使…模糊
obscurity,费解+不出名
obsequious,逢迎的+谄媚的
observatory,天文台
obsess,迷住+使…困窘+使…烦扰
obsessed,心神不宁的
obsession,入迷+固执的念头
obsolescent,即将过时的
obsolete,废弃的+过时的
obstacle,障碍+干扰
obstinacy,固执+倔强+顽固
obstinate,固执的+倔强的
obstreperous,吵闹的+难管束的
obstruct,阻塞+截断
obstruction,阻碍(物)+妨碍
obtainable,能得到的
obtuse,愚笨的+不锐利的
obverse,正面(的)
obviate,排除(困难)
obvious,明显的+显而易见的
occlude,使闭塞
occult,秘密的+不公开的
occupation,工作+职业+占领
occurrence,事件+发生
octogenarian,80～89岁的老人
odds,机会+可能性
ode,长诗+颂歌
odious,可憎的+讨厌的
odium,憎恶+反感
odometer,(汽车)里程表
odyssey,长途的冒险旅行
offbeat,不规则的+不平常的
offence(offense),得罪+错事
offend,得罪+冒犯
offensive,令人不快的+得罪人的
offhand,ad事先无准备地(的)+随便地(的)
officious,爱发命令的+好忠告的+过度殷勤的
offish,冷淡的
off-key,走调的+不和谐的
offset,补偿+抵消
offspring,儿女+后代
offstage,ad台后(的)+幕后(的)
ogle,送秋波+媚眼
ointment,油膏+软膏
olfaction,嗅觉
oligarchy,寡头政治
omelet,煎蛋卷
ominous,预兆的+不祥的
omit,省略+遗漏+疏忽
omnipotent,全能的+万能的
omnipresent,无处不在的
omniscient,无所不知的+博识的
onerous,繁重的+麻烦的
onset,(坏情况)开始发作
opacity,不透明性+晦涩
opalescence,(不透明的)乳白光
opaque,不透明的+难懂的
operative,(计划等)实施中的+生效的
operetta,小歌剧
opine,想+以为
opinionated,固执己见的
opponent,对手+敌手
opportune,合适的+适当的
oppose,反对
oppress,压迫+压制
opprobrious,辱骂的+恶名声的
optimism,乐观主义
optimist,乐观主义者
optimum,最好的+最有利的
optional,可自由选择的
opulent,富裕的+充足的
oracle,代神发布神谕的人
oration,正式演说+演讲
oratorio,清唱剧(没有舞台行动、道具的戏剧)
oratory,演讲术
orchard,果园
orchestra,管弦乐队
ordain,任命(神职)+颁发命令
ordeal,严峻考验+痛苦经验
ordinance,法令+条例
ordnance,大炮+军械
ore,矿+矿石
organism,生物+有机体
orient,上升的+确定方向+使熟悉情况
original,最初的+原始的+有创意的
originality,创造性+独特性
ornate,华美的+充满装饰的
ornithologist,鸟类学家+鸟类学者
ornithology,鸟类学
orthodontics,畸齿矫正学
orthodox,正统的
oscillate,摆动+犹豫
osmosis,渗透+潜移默化
osseous,骨的+多骨的
ossify,硬化+骨化+使(传统)僵化
ostensible,表面上的
ostentation,夸示+炫耀
ostracism,放逐+排斥
ostracize,放逐+排斥
ostrich,鸵鸟+不接受现实的人
other-directed,受人支配的
otter,水獭
oust,驱逐+把…赶走
outgoing,友善的+即将离去的
outgrowth,自然结果+生长物
outlandish,古怪的
outlet,出口
outline,轮廓+梗概
outmaneuver,以策略制胜
outmoded,不再流行的
outrage,暴行
outset,开始+开头
outshine,要求比…更好
outskirts,郊区+郊外
outspoken,直言不讳的
outstrip,超过+跑过
outwit,以机智胜过
ovation,热烈的欢迎、鼓掌
overbearing,专横的+独断的
overdose,(药物)过大的剂量
overdue,过期未付的+逾期的
overexposure,过分暴露+(照相)暴光过度
overflow,溢出+洋溢
overhaul,彻底检查+大修
overlap,(部分地)重叠
overlook,忽视+俯视
overpowering,压倒性的+不可抗拒的
overreach,做事过头
override,不理会+蹂躏+践踏
overriding,最主要的+优先的
overrule,(高位的人)否决(低位的人或事)
oversee,监督
overshadow,遮蔽+使失色
overstate,夸张+对…言过其实
overt,公开的+非秘密的
overthrow,推翻+终止
overture,前奏曲+序曲
overturn,翻倒+推翻
overwhelm,泛滥+压倒
overwrought,紧张过度的
owl,猫头鹰
oxidize,氧化+生锈
pacifist,和平主义者+反战主义者
pacify,使安静+抚慰
pack,狼群+一群动物
packed,充满人的+拥挤的
pact,协定+条约
padding,衬垫+填料
paean,赞美歌+颂歌
pagan,没有宗教信仰的人+异教徒
